Move,Type,Category,Power Modifier 1,Power,Power Modifier 2,Accuracy Modifier 1,Accuracy Modifier 2,Target,Effect
Double-Edge,Normal,PHYSICAL,STRENGTH,5,,STRENGTH,BRAWL,Single Target,Recoil Move. The User receives 2 Neutral damage.
Draco Meteor,Dragon,SPECIAL,SPECIAL,6,,SPECIAL,CHANNEL,Single Target,Decrease The User’s Special by 2. The User removes 1 Success from the Accuracy Roll.
Dragon Ascent,Flying,PHYSICAL,STRENGTH,5,,STRENGTH,BRAWL,Single Target,Decrease the User’s Defense and Special Defense by 1.
Dragon Breath,Dragon,SPECIAL,SPECIAL,2,,DEXTERITY,CHANNEL,Single Target,On a Chance Dice roll of 8 or higher Paralyze the Target.
Dragon Claw,Dragon,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,-
Dragon Dance,Dragon,SUPPORT,,0,,TOUGH,PERFORM,User,Increase the User’s Strength and Dexterity by 1.
Dragon Darts,Dragon,PHYSICAL,STRENGTH,2,,DEXTERITY,CHANNEL,Single Target,Ranged. Double Action.
Dragon Energy,Dragon,SPECIAL,SPECIAL,6,,SPECIAL,CHANNEL,Single Target,Decrease 1 dice from the Damage Pool for every missing HP the User has. Up to 5 dice may be removed this way.
Dragon Hammer,Dragon,PHYSICAL,STRENGTH,3,,STRENGTH,BRAWL,Single Target,-
Dragon Pulse,Dragon,SPECIAL,SPECIAL,3,,SPIRIT,CHANNEL,Single Target,-
Dragon Rage,Dragon,SPECIAL,,0,,SPECIAL,CHANNEL,Single Target,"Dragon Rage deals 4 Dragon-Type damage. Ignoring the Target's Defences. Dragon Rage can not be a Critical Hit. Dragon Rage is unaffected by STAB, Super Effective, and Resistance, Immunities still apply. "
Dragon Rush,Dragon,PHYSICAL,STRENGTH,4,,DEXTERITY,BRAWL,Single Target,On a Chance Dice roll of 9 or higher Flinch the Target. The User removes 2 Successes from the Accuracy Roll.
Dragon Tail,Dragon,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target, Priority -6. Target Switcher Move. The User removes 1 Success from the Accuracy Roll.
Drain Punch,Fighting,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,"Fist Based. The User restores HP equal to half the damage dealt, rounded down. Drain Punch always restores 1 HP. "
Draining Kiss,Fairy,SPECIAL,SPECIAL,2,,CUTE,ALLURE,Single Target,"The User restores HP equal to half the damage dealt, rounded down. Draining Kiss always restores 1 HP."
Dream Eater,Psychic,SPECIAL,SPECIAL,4,,SPECIAL,CHANNEL,Single Target,"The User restores HP equal to half the damage dealt, rounded down. Dream Eater always restores 1 HP. The Target must be Asleep, or Dream Eater will fail."
Drill Peck,Flying,PHYSICAL,STRENGTH,3,,STRENGTH,BRAWL,Single Target,-
Drill Run,Ground,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,High Critical. The User removes 1 Success from the Accuracy Roll.
Drum Breating,Grass,PHYSICAL,STRENGTH,3,,COOL,PERFORM,Single Target,Decrease the Target’s Dexterity by 1.
Dual Chop,Dragon,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,Double Action. The User removes 1 Success from the Accuracy Roll.
Dual Wingbeat,Flying,PHYSICAL,STRENGTH,2,,TOUGH,BRAWL,Single Target,Double Action. The User removes 1 Success from the Accuracy Roll.
Dynamax Cannon,Dragon,SPECIAL,SPECIAL,4,,SPECIAL,CHANNEL,Single Target,"If the Target is under the effects of Dynamax, add 4 Extra Dice to the Damage Pool."
Dynamic Punch,Fighting,PHYSICAL,STRENGTH,4,,STRENGTH,BRAWL,Single Target,Fist Based. The Target is Confused. The User removes 5 Successes from the Accuracy Roll. 
Earth Power,Ground,SPECIAL,SPECIAL,3,,WILL,CHANNEL,Single Target,On a Chance Dice roll of 10 decrease the Target’s Special Defense by 1.
Earthquake,Ground,PHYSICAL,STRENGTH,4,,STRENGTH,CHANNEL,Area,Ranged. Earthquake can still target Pokemon that are charging the move Dig. Double the Base Power of Earthquake if the Target is charging Dig.
Echoed Voice,Normal,SPECIAL,SPECIAL,2,,TOUGH,PERFORM,Single Target,"Sound Based. Echoed Voice can be performed multiple times in the same Round. Add 1 extra dice to the Damage Pool for every consecutive time the User performs Echoed Voice. Up to 8 extra dice may be added this way. Reset the effect if the User performs another move, Evades, Clashes with another move, or Echoed Voice fails to hit. The User may Clash with Echoed Voice, but the Damage Pool does not increase. "
Eerie Impulse,Electric,SUPPORT,,0,,SPIRIT,NATURE,Single Target,Decrease the Target’s Special by 2.
Eerie Spell,Psychic,SPECIAL,SPECIAL,3,,SPECIAL,INTIMIDATE,Single Target,Sound Based. Decrease the Target's Will by 1. The Target's Will can not be decreased to lower then 1 with Eerie Spell. 
Egg Bomb,Normal,PHYSICAL,STRENGTH,4,,DEXTERITY,CHANNEL,Single Target,Ranged. The User removes 2 Successes from the Accuracy Roll.
Electric Terrain,Electric,SUPPORT,,0,,SPIRIT,NATURE,Battlefield,"Add 1 extra dice to the Damage Pool of all Physical and Special Electric-Type moves. All Pokemon affected by this Terrain are cured from Sleep. Flying-Type Pokemon, Pokemon with the Ability Levitate, Pokemon holding an Air Ballon, and Pokemon under the effects of Magnet Rise or Telekinesis are unaffected by this Terrain. Lasts for 5 Turns."
Electrify,Electric,SUPPORT,,0,,SPIRIT,NATURE,Single Target,The Damage from the next attack made by the Target will be Electric Type. Struggle is unaffected. Never Fail
Electro Ball,Electric,SPECIAL,SPECIAL,2,,DEXTERITY,CHANNEL,Single Target,Add 1 extra dice to the Damage Pool for every Dexterity point the User that surpasses the Target’s Dexterity. Up to 4 Dice might be added this way.
Electro Drift,Electric,SPECIAL,SPECIAL,4,,DEXTERITY,ATHLETICS,Single Target,Electro Drift does an additional 2 damage if Electro Drift is Super Effective on the Target. 
Electroweb,Electric,SPECIAL,SPECIAL,2,,DEXTERITY,CHANNEL,Multiple Targets,Decrease the Target's Dexterity by 1. The User removes 1 Success from the Accuracy Roll.
Embargo,Dark,SUPPORT,,0,,TOUGH,INTIMIDATE,Single Target,The Target can not use its Held Item. The Target's Trainer can not use any Items on the Target. Lasts for 5 Turns.
Ember,Fire,SPECIAL,SPECIAL,2,,SPECIAL,CHANNEL,Single Target,Roll 1 Chance Dice Burn the Target.
Encore,Normal,SUPPORT,,0,,COOL,ALLURE,Single Target,"Priority +3. The Target will repeat the exact same Action sequence it had last Turn. (I.e. The Target used Tackle, Evade, Clash, Leer, then nothing. The Target repeats the same Actions in the same order. If all Actions were not used in the last Turn those Actions can be used to do anything). Last 5 Turns. Encore can not be Evaded and ignores the User's Accuracy decreases."
Endeavor,Normal,SUPPORT,,0,,WILL,CHANNEL,Single Target,"The User deals damage equal to the difference between the User's full HP and its current HP. The User can not decrease the Target's HP to lower than its own remaining HP. Ignore Target's Defenses. Endeavor can not be a Critical Hit, and is unaffected by STAB. Endeavor is not affected by Weakness, or Resistance, Immunities still apply. Endeavor can not be Clashed."
Endure,Normal,SUPPORT,,0,,WILL,CHANNEL,User,"Priority +5. Shield Move. For the rest of the Turn Physical and Special moves can not decrease the User's HP to less then 1. Status Conditions, Weather, Recoil, and self inflicted damage can still deal damage."
Energy Ball,Grass,SPECIAL,SPECIAL,3,,DEXTERITY,CHANNEL,Single Target,On a Chance Dice roll of 10 Decrease Target’s Special Defense by 1.
Entrainment,Normal,SUPPORT,,0,,COOL,PERFORM,Single Target,The Target’s Ability is replaced by the User’s Ability.
Eruption,Fire,SPECIAL,SPECIAL,6,,SPECIAL,CHANNEL,Multiple Targets,Decrease 1 dice from the Damage Pool for every missing HP the User has. Up to 5 dice may be removed this way.
Esper Wing,Psychic,SPECIAL,SPECIAL,3,,DEXTERITY,CHANNEL,Single Target,High Critical.
Eternabeam,Dragon,SPECIAL,SPECIAL,7,,SPECIAL,CHANNEL,Single Target,Recharge. The User removes 1 Success from the Accuracy Roll.
Expanding Force,Psychic,SPECIAL,SPECIAL,3,,SPIRIT,CHANNEL,Single Target,Expanding Force becomes Multiple Targets and add 2 extra dice to the Damage Pool if the User is affected by Psychic Terrain.
Explosion,Normal,PHYSICAL,STRENGTH,10,,STRENGTH,BRAWL,Area,Ranged. The User receives damage equal to its remaining HP. Ignore the User's Defences.
Extrasensory,Psychic,SPECIAL,SPECIAL,3,,SPIRIT,CHANNEL,Single Target,On a Chance Dice roll of 10 Flinch the Target.
Extreme Speed,Normal,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,Priority +2. 
Facade,Normal,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,Add 3 extra dice to the Damage Pool if the Target is affected by a Status Condition.
Fairy Lock,Fairy,SUPPORT,,0,,SPIRIT,NATURE,Battlefield,Block. Lasts for 1 Turn.
Fairy Wind,Fairy,SPECIAL,SPECIAL,2,,DEXTERITY,CHANNEL,Single Target,-
Fake Out,Normal,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,"Priority +3. The Target is Flinched. Fake Out only work on the first Turn the User is out on the Battlefield. From the second Turn on, Fake Out fails automatically. If the User is removed from the Battlefield reset this effect."
Fake Tears,Dark,SUPPORT,,0,,CUTE,PERFORM,Single Target,Decrease the Target’s Special Defense by 2.
False Surrender,Dark,PHYSICAL,STRENGTH,3,,CUTE,ALLURE,Single Target,False Surrender can not be Evaded and ignores the User's Accuracy decreases.
False Swipe,Normal,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,False Swipe can not decrease the Target's HP past 1.
Feather Dance,Flying,SUPPORT,,0,,BEAUTY,PERFORM,Single Target,Decrease the Target’s Strength by 2.
Feint,Normal,PHYSICAL,STRENGTH,1,,DEXTERITY,BRAWL,Single Target,Priority +2. Feint ignores any Shielding Move effects on the Target.
Feint Attack,Dark,PHYSICAL,STRENGTH,2,,CLEVER,STEALTH,Single Target,Feint Attack can not be Evaded and ignores the User's Accuracy decreases.
Fell Stinger,Bug,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,If the Target faints due to damage from this attack increase the User's Strength by 2
Fiery Dance,Fire,SPECIAL,SPECIAL,3,,BEAUTY,PERFORM,Single Target,On a Chance Dice roll of 6 or higher Increase the User’s Special by 1.
Fiery Wrath,Dark,SPECIAL,SPECIAL,3,,SPIRIT,CHANNEL,Multiple Targets,Ranged. On a Chance Dice roll of 9 or higher Flinch the Target.
Fillet Away,Normal,SUPPORT,,,,TOUGH,BRAWL,User,"The User takes damage equal to half of the User's Max HP, rounded down. Increase User’s Strength, Special and Dexterity by 2."
Final Gambit,Fighting,SPECIAL,,0,,WILL,ATHLETICS,Single Target,"The User faints. The Target receives damage equal to the User’s remaining HP. Ignore the Target's Defenses. Final Gambit can not be a Critical Hit, and is unaffected by STAB. Final Gambit is not affected by Weakness, or Resistance, Immunities still apply. Final Gamnit can not be Clashed."
Fire Blast,Fire,SPECIAL,SPECIAL,5,,SPECIAL,CHANNEL,Single Target,On a Chance Dice roll of 10 Burn the Target. The User removes 1 Success from the Accuracy Roll.
Fire Fang,Fire,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,Roll 1 Chance to Flinch the Target. On a Chance Dice roll of 9 or higher Burn the Target. The User removes 1 Success from the Accuracy Roll.
Fire Lash,Fire,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,Decrease the Target’s Defense by 1.
Fire Pledge,Fire,SPECIAL,SPECIAL,3,,WILL,NATURE,Single Target,At the end of each Turn all Pokemon on the field take 1 Fire Damage. Lasts for 5 Turns.
Fire Punch,Fire,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,Fist Based. On a Chance Dice roll of 10 Burn the Target.
Fire Spin,Fire,SPECIAL,SPECIAL,2,,DEXTERITY,CHANNEL,Single Target,"Block. Deal 1 Neutral damage at the end of the Turn. This effect does not stack with other similar moves. Lasts for 5 Turns, unless the User is switched. The User removes 1 Success from the Accuracy Roll."
First Impression,Bug,PHYSICAL,STRENGTH,3,,STRENGTH,INTIMIDATE,Single Target,"Priority +2. First Impression only work on the first Turn the User is out on the Battlefield. From the second Turn on, First Impression fails automatically. If the User is removed from the Battlefield reset this effect."
Fishious Rend,Water,PHYSICAL,STRENGTH,3,,TOUGH,BRAWL,Single Target,Add 3 extra dice to the Damage Pool if the Target has not had a Turn this Turn.
Fissure,Ground,PHYSICAL,,0,,STRENGTH,BRAWL,Single Target,"The Target receives damage equal to the Target’s remaining HP, plus 2 damage. Ignoring the Target's Defences. Fissure can not be a Critical Hit. Fissure is unaffected by STAB, Super Effective, and Resistance, Immunities still apply. Fissure can not be a Critical Hit. Fissure is unaffected by STAB, Super Effective, and Resistance, Immunities still apply. Fissure can not be Clashed. The User removes 6 Successes from the Accuracy Roll."
Flail,Normal,PHYSICAL,STRENGTH,1,,ENDURANCE,BRAWL,Single Target,Add 1 extra dice to the Damage Pool for every 2 HP missing from the User's Max HP. Up to 5 extra dice may be added this way.
Flame Burst,Fire,SPECIAL,SPECIAL,3,,DEXTERITY,CHANNEL,Single Target,Deal 1 Neutral Damage against two Allies of the Target.
Flame Charge,Fire,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,Increase the User’s Dexterity by 1.
Flame Wheel,Fire,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,On a Chance Dice roll of 10 Burn the Target.
Flamethrower,Fire,SPECIAL,SPECIAL,3,,SPECIAL,CHANNEL,Single Target,On a Chance Dice roll of 10 Burn the Target.
Flare Blitz,Fire,PHYSICAL,STRENGTH,5,,STRENGTH,BRAWL,Single Target,Recoil Move. On a Chance Dice roll of 10 Burn the Target. The User receives 3 Neutral damage.
Flash,Normal,SUPPORT,,0,,BEAUTY,CHANNEL,Single Target,Decrease the Target's Accuracy by 1.
Flash Cannon,Steel,SPECIAL,SPECIAL,3,,BEAUTY,CHANNEL,Single Target,On a Chance Dice roll of 10 Decrease the Target’s Special Defense by 1.
Flatter,Dark,SUPPORT,,0,,COOL,ALLURE,Single Target,Increase the Target’s Special by 1. The Target is Confused.
Fleur Cannon,Fairy,SPECIAL,SPECIAL,6,,SPECIAL,CHANNEL,Single Target,Decrease the User’s Special by 2. The User removes 1 Success from the Accuracy Roll.
Fling,Dark,PHYSICAL,STRENGTH,0,,DEXTERITY,ATHLETICS,Single Target,Ranged. The User throws their Held Item at the Target. Refer to the Rulebook for each Held Items effect. Fling fails if the User does not have a Held Item.
Flip Turn,Water,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,,User Switcher Move. 
Floral Healing,Fairy,SUPPORT,,0,,SPIRIT,NATURE,Single Target,"The Target restores 3 HP If performed under the effects of Grassy Terrain, the User restores 4 HP instead."
Flower Shield,Fairy,SUPPORT,,0,,SPIRIT,NATURE,Battlefield,Increase the Defense of All Grass Type Pokémon on the field.
Flower Trick,Grass,PHYSICAL,STRENGTH,3,,CUTE,BRAWL,Single Target,Flower Trick is always considered a Critical Hit. Flower Trick can not be Evaded and ignores the User's Accuracy decreases.
Fly,Flying,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,Charge Move. The User can not be targeted while charging Fly. The User removes 1 Success from the Accuracy Roll.
Flying Press,Fighting,PHYSICAL,STRENGTH,4,,DEXTERITY,BRAWL,Single Target,"For Super Effective, Resistance, and Immunities Flying Press is a Fighting-Type move and a Flying-Type move."
Focus Blast,Fighting,SPECIAL,SPECIAL,5,,SPECIAL,CHANNEL,Single Target,On a Chance Dice roll of 10 Decrease Target's Special Defense. The User removes 3 Successes from the Accuracy Roll.
Focus Energy,Normal,SUPPORT,,0,,SPIRIT,CHANNEL,User,The User’s Physical and Special moves gain the effect High Critical. This effect last for as long as the Target stays on the Battlefield
Focus Punch,Fighting,PHYSICAL,STRENGTH,6,,STRENGTH,BRAWL,Single Target,"Charge Move. Fist Based. The User becomes Flinched if the User is deal damage by a Physical or Special move before the Charge has finished, Focus Punch then fails.  "
Follow Me,Normal,SUPPORT,,0,,COOL,PERFORM,User,"Priority +2. Until the end of the Turn, all Foe Pokemon's moves must Target the User."
Force Palm,Fighting,PHYSICAL,STRENGTH,2,,STRENGTH,BRAWL,Single Target,On a Chance Dice roll of 8 or higher Paralyze the Target.
Foresight,Normal,SUPPORT,,0,,SPIRIT,ALERT,Single Target,"The User's move can not be Evaded by the Target. If the Target is a Ghost-Type Pokemon, the Target will lose its Immunities to Fighting-Type and Normal-Type moves. Forsight can not be Evaded and ignores the User's Accuracy decreases."
Forest's Curse,Grass,SUPPORT,,0,,WILL,NATURE,Single Target,"Add the Grass-Type to the Target's Type, if the Pokémon already has a third type, replace it with Grass-Type."
Foul Play,Dark,PHYSICAL,,3,,CLEVER,BRAWL,Single Target,Foul Play uses the Target's Base Strength instead of the User's. The User's Strength increases and decreases still apply.
Freeze Dry,Ice,SPECIAL,SPECIAL,3,,SPIRIT,NATURE,Single Target,On a Chance Dice roll of 10 Frostbite the Target. Water-Type Pokémon are dealt 2 extra damage.
Freeze Shock,Ice,PHYSICAL,STRENGTH,6,,SPECIAL,CHANNEL,Single Target,Ranged. Charge Move. On a Chance Dice roll of 8 or higher Paralyze the Target. The User removes 1 Success from the Accuracy Roll.
Freezing Glare,Ice,SPECIAL,SPECIAL,3,,TOUGH,INTIMIDATE,Single Target,One a Chance Dice roll of 10 Frostbite the Target.
Frenzy Plant,Grass,SPECIAL,SPECIAL,6,,SPECIAL,CHANNEL,Single Target,Recharge. The User removes 1 Success from the Accuracy Roll.
Frost Breath,Ice,SPECIAL,SPECIAL,2,,DEXTERITY,CHANNEL,Single Target,Frost Breath is always a Critical Hit. The User removes 1 Success from the Accuracy Roll.
Frustration,Normal,PHYSICAL,STRENGTH,0,MISSING HAPPINESS,TOUGH,BRAWL,Single Target,Add 1 extra dice to the Damage Pool for every missing point of Happiness on the User. Up to 5 extra dice may be added this way.
Fury Attack,Normal,PHYSICAL,STRENGTH,1,,DEXTERITY,BRAWL,Single Target,Successive Actions. The User removes 1 Success from the Accuracy Roll.
Fury Cutter,Bug,PHYSICAL,STRENGTH,1,,DEXTERITY,BRAWL,Single Target,"Fury Cutter can be performed multiple times in the same Round. Add 2 extra dice to the Damage Pool for every consecutive time the User performed Fury Cutter. Up to 4 extra dice may be added this way. Reset the effect if the User uses another move, Evades, Clashes with another move, or Fury Cutter fails to hit. The User may Clash with Fury Cutter, but the Damage Pool do not increase. The User removes 1 Success from the Accuracy Roll."
Fury Swipes,Normal,PHYSICAL,STRENGTH,1,,DEXTERITY,BRAWL,Single Target,Successive Actions. The User removes 2 Successes from the Accuracy Roll.
Fusion Bolt,Electric,PHYSICAL,STRENGTH,4,,STRENGTH,CHANNEL,Single Target,"If the move Fusion Flare has already been used by anyone this Turn, add 4 extra dice to the Damage Pool."
Fusion Flare,Fire,SPECIAL,SPECIAL,4,,SPECIAL,CHANNEL,Single Target,"If the move Fusion Bolt has already been used by anyone this Turn, add 4 Extra Dice to the Damage Pool."
Future Sight,Psychic,SPECIAL,SPECIAL,5,,SPIRIT,CHANNEL,Single Target,"Future Sight ignores the effects of Shield Moves and cover. If the Target faints or switches out from the Battlefield, the damage will be dealt to the next Target or to one of its Allies. Future Sight does not deal damage until the end of the next Turn. "
Gastro Acid,Poison,SUPPORT,,0,,SPECIAL,CHANNEL,Single Target,The Target has no Ability until the Target leaves the Battlefield.
Gear Grind,Steel,PHYSICAL,STRENGTH,2,,STRENGTH,BRAWL,Single Target,Double Action. The User removes 1 Success from the Accuracy Roll.
Gear Up,Steel,SUPPORT,,0,,ENDURANCE,CHANNEL,User and Allies,Increase the User's and Allies' that are Steel-Type or Electric-Type Strength and Special by 1.
Geomancy,Fairy,SUPPORT,,0,,SPIRIT,NATURE,User,"Charge Move. Increase the User's Dexterity, Special and Special Defense by 2."
Giga Drain,Grass,SPECIAL,SPECIAL,3,,SPECIAL,CHANNEL,Single Target,"The User restores HP equal to half the damage dealt, rounded down. Giga Drain always restores 1 HP."
Giga Impact,Normal,PHYSICAL,STRENGTH,6,,STRENGTH,BRAWL,Single Target,Recharge. The User removes 1 Success from the Accuracy Roll.
Gigaton Hammer,Steel,PHYSICAL,STRENGTH,6,,STRENGTH,BRAWL,Single Target,The User can not perform Gigaton Hammer next Round.
Glacial Lance,Ice,PHYSICAL,STRENGTH,5,,STRENGTH,BRAWL,Multiple Targets,-
Glaciate,Ice,SPECIAL,SPECIAL,2,,SPECIAL,CHANNEL,Multiple Targets,Decrease the Target's Dexterity by 1. The User removes 1 Success from the Accuracy Roll.
Glaive Rush,Dragon,PHYSICAL,STRENGTH,5,,STRENGTH,BRAWL,Single Target,Add 2 extra dice to the Damage Pool of all Physical and Special moves that target the User. The User can not Evade. This effect last till the end of Turn.
Glare,Normal,SUPPORT,,0,,TOUGH,INTIMIDATE,Single Target,The Target is Paralyzed.
Grass Knot,Grass,SPECIAL,SPECIAL,1,,DEXTERITY,CHANNEL,Single Target,Add 1 extra dice to the Damage Pool for every 50 kgs. of weight on the Target. Up to 4 extra dice may be added this way.
Grass Pledge,Grass,SPECIAL,SPECIAL,3,,WILL,NATURE,Single Target,"Decrease the Target's Dexterity by 2, Foe Pokémon that enter the Battlefield are also affected. Lasts for 5 Turns."
Grass Whistle,Grass,SUPPORT,,0,,BEAUTY,PERFORM,Single Target,Sound Based. The Target is Asleep. The User removes 4 Successes from the Accuracy Roll.
Grassy Glide,Grass,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,If the User is affected by Grassy Terrain Grassy Glide gains the effect Priority +1. 
Grassy Terrain,Grass,SUPPORT,,0,,SPECIAL,NATURE,Battlefield,"Add 1 extra dice to the Damage Pool of all Physical and Special Grass-Type moves.  All Pokemon affected by this Terrain restore 1 HP at the end of Turn. Flying-Type Pokemon, Pokemon with the Ability Levitate, Pokemon holding an Air Balloon, and Pokemon under the effects of Magnet Rise or Telekinesis are unaffected by this Terrain. Lasts for 5 Turns."
Grav Apple,Grass,PHYSICAL,STRENGTH,3,,STRENGTH,ATHLETICS,Battlefield,Ranged. Decrease the Target's Defense by 1. If the move Gravity is in effect add 3 extra dice to the Damage Pool.
Gravity,Psychic,SUPPORT,,0,,SPECIAL,CHANNEL,Battlefield,"Increase User's, Allies, and Foes Accuracy by 1 while Gravity is in effect. Flying-Type Pokemon, Pokemon with the Ability Levitate, Pokemon holding an Air Balloon, and Pokemon under the effects of Magnet Rise or Telekinesis, lose their Immunity to Ground-Type moves and are affected by Entry Hazards, and Terrains. Lasts for 5 Turns."
Growl,Normal,SUPPORT,,0,,TOUGH,PERFORM,Multiple Targets,Sound Based. Decrease the Target's Strength by 1. 
Growth,Normal,SUPPORT,,0,,SPECIAL,NATURE,User,"Increase the User's Strength and Special by 1. If Sunny Weather is in effect, increase the User's Strength and Special by 2 instead."
Grudge,Ghost,SUPPORT,,0,,WILL,CHANNEL,Single Target,"The User faints. The Target has its Will decreased to 0. Reset any effects the Target got from spending Will, including Pain Penalties."
Guard Split,Psychic,SUPPORT,,0,,SPECIAL,CHANNEL,Single Target,"The User's Base Defense and Base Special Defense, and the Target's Base Defense and Base Special Defense are combined then spilt equally between the User and the Target, Turned up. Guard Split can not be Evaded and ignores the User's Accuracy decreases."
Guard Swap,Psychic,SUPPORT,,0,,SPECIAL,CHANNEL,Single Target,Switch your Defense and Special Defense Increases and Decreases with your Target. Never Fail
Guillotine,Normal,PHYSICAL,,0,,DEXTERITY,BRAWL,Single Target,"The Target receives damage equal to the Target’s remaining HP, plus 2 damage. Ignoring the Target's Defences. Guillotine can not be a Critical Hit. Guillotine is unaffected by STAB, Super Effective, and Resistance, Immunities still apply. Guillotine can not be a Critical Hit. Guillotine is unaffected by STAB, Super Effective, and Resistance, Immunities still apply. Guillotine can not be Clashed. The User removes 7 Successes from the Accuracy Roll."
Gunk Shot,Poison,PHYSICAL,STRENGTH,5,,STRENGTH,CHANNEL,Single Target,Ranged. On a Chance Dice roll of 8 or higher Poison the Target. The User removes 2 Successes from the Accuracy Roll.
Gust,Flying,SPECIAL,SPECIAL,2,,DEXTERITY,CHANNEL,Single Target,"Gust can still target Pokemon that are charging the moves Fly, Bounce, and Sky Drop. Double the Base Power of Gust if the Target is charging Fly, Bounce, or Sky Drop. "
Gyro Ball,Steel,PHYSICAL,STRENGTH,1,,CLEVER,BRAWL,Single Target,Add 1 extra dice to the Damage Pool for every Dexterity point the Target has that surpasses the User's. Up to 5 dice may be added this way. 
Hail,Ice,SUPPORT,,0,,SPIRIT,NATURE,Battlefield,Begin the effects of Hail. Lasts for 5 Turns.
Hammer Arm,Fighting,PHYSICAL,STRENGTH,4,,DEXTERITY,BRAWL,Single Target,Decrease the User’s Dexterity by 1. The User removes 1 Success from the Accuracy Roll.
Harden,Normal,SUPPORT,,0,,ENDURANCE,NATURE,User,Increase the User’s Defense by 1.
Haze,Ice,SUPPORT,,0,,SPECIAL,NATURE,Battlefield,Remove all increased and decreased Stats on all Pokemon on the Battlefield.
Head Charge,Normal,PHYSICAL,STRENGTH,5,,STRENGTH,BRAWL,Single Target,Recoil Move. The User receives 2 Neutral damage.
Head Smash,Rock,PHYSICAL,STRENGTH,6,,STRENGTH,BRAWL,Single Target,Recoil Move. The User receives 3 Neutral Damage. The User removes 2 Successes from the Accuracy Roll.
Headbutt,Normal,PHYSICAL,STRENGTH,3,,ENDURANCE,BRAWL,Single Target,On a Chance Dice roll of 8 or higher Flinch. 
Headlong Rush,Ground,PHYSICAL,STRENGTH,5,,STRENGTH,BRAWL,Single Target,Fist Based. Decrease the User’s Defense and Special Defense by 1.
Heal Bell,Normal,SUPPORT,,0,,SPECIAL,PERFORM,User and Allies,Sound Based. The User and Allies are cured from all Status Conditions. The Allies do not need to be on the Battlefield to recieve this effect. 
Heal Block,Psychic,SUPPORT,,0,,SPECIAL,CHANNEL,Multiple Targets,The Target can not restore any HP. Lasts for 5 Turns.
Heal Order,Bug,SUPPORT,,0,,TOUGH,NATURE,User,The User restores 3 HP.
Heal Pulse,Psychic,SUPPORT,,0,,WILL,CHANNEL,Single Target,The Target restores 3 HP.
Healing Wish,Psychic,SUPPORT,,0,,WILL,CHANNEL,Single Target,"The User faints. An Ally's is switched in with the same amount of Actions performed as the User. The Ally's HP is fully restored, and is cured of all Status Conditions. "
Heart Stamp,Psychic,PHYSICAL,STRENGTH,2,,CUTE,ALLURE,Single Target,On a Chance Dice roll of 8 or higher Flinch the Target.
Heart Swap,Psychic,SUPPORT,,0,,CUTE,ALLURE,Single Target,The User swaps its Stat increases and decreases with the Target. Heart Swap can not be Evaded and ignores the User's Accuracy decreases.
Heat Crash,Fire,PHYSICAL,STRENGTH,2,,STRENGTH,BRAWL,Single Target,Add 1 extra dice to the Damage Pool for every 50kgs the User's weights is above the Target's weight. Up to 4 dice may be added this way.
Heat Wave,Fire,SPECIAL,SPECIAL,3,,DEXTERITY,CHANNEL,Multiple Targets,On a Chance Dice roll of 10 Burn the Target. The User removes 1 Success from the Accuracy Roll.
Heavy Slam,Steel,PHYSICAL,STRENGTH,1,,ENDURANCE,BRAWL,Single Target,Add 1 extra dice for every 50 kgs. of weight above the Target's weight. Up to 4 extra dice may be added this way.
Helping Hand,Normal,SUPPORT,,0,,DEXTERITY,PERFORM,Single Target,"Priority +5. Add 2 extra dice to the Target's next Skill check, or the Target's next Accuracy Roll and Damage Pool."
Hex,Ghost,SPECIAL,SPECIAL,2,,SPIRIT,CHANNEL,Single Target,Add 2 extra dice to the Damage Pool if the Target is affected by a Status Condition.
Hidden Power,Normal,SPECIAL,SPECIAL,2,,DEXTERITY,CHANNEL,Single Target,"The User chooses a Type that's Super Effective against the Target. If the Target has a double Weakness, the User must choose that Type. "
High Horsepower,Ground,PHYSICAL,STRENGTH,3,,TOUGH,ATHLETICS,Single Target,The User removes 1 Success from the Accuracy Roll.
