Number,Species,Type 1,Type 2,Base HP,Base Str,Dot Str,Base Dex,Dot Dex,Base End,Dot End,Base Sp,Dot Sp,Base Spirit,Dot Spirit,ABILITY 1,ABILITY 2,H.ABILITY,Evolves From,Evolution Method,Height,Weight
101,Hisuian Electrode,Electric,Grass,6,2,⬤⬤,4,⬤⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Soundproof,Static,Aftermath,Voltorb-Hisuian,Leaf Stone,1.2,71
102,Exeggcute,Grass,Psychic,6,1,⬤,1,⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,Chlorophyll,,Harvest,,,0.4,2.5
103,Exeggutor,Grass,Psychic,9,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Chlorophyll,,Harvest,Exeggcute,Leaf Stone,2,120
104,Alolan Exeggutor,Grass,Dragon,9,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Frisk,,Harvest,Exeggcute,Leaf Stone,10.9,415.6
104,Cubone,Ground,,5,2,⬤⬤,1,⬤,3,⬤⬤⬤,1,⬤,2,⬤⬤,Rock Head,Lightning Rod,Battle Armor,,,0.4,6.5
105,Marowak,Ground,,6,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Rock Head,Lightning Rod,Battle Armor,Cubone,Amateur Rank,1,45
105,Alolan Marowak,Fire,Ghost,6,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Cursed Body,Lightning Rod,Rock Head,Cubone,Amateur Rank,1,34
106,Hitmonlee,Fighting,,5,4,⬤⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,1,⬤,3,⬤⬤⬤,Limber,Reckless,Unburden,Tyrogue,Amateur Rank,1.5,49.8
107,Hitmonchan,Fighting,,5,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,Keen Eye,Iron Fist,Inner Focus,Tyrogue,Amateur Rank,1.4,50.2
108,Lickitung,Normal,,9,2,⬤⬤,1,⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Own Tempo,Oblivious,Cloud Nine,,,1.2,65.5
109,Koffing,Poison,,4,2,⬤⬤,1,⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,Levitate,Neutralizing Gas,Stench,,,0.6,1
110,Weezing,Poison,,6,3,⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,Levitate,Neutralizing Gas,Stench,Koffing,Ace Rank,1.2,9.5
110,Galarian Weezing,Poison,Fairy,6,3,⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,Levitate,Neutralizing Gas,Misty Surge,Koffing,Ace Rank,3,16
111,Rhyhorn,Ground,Rock,8,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,1,⬤,1,⬤,Lightning Rod,Rock Head,Reckless,,,1,115
112,Rhydon,Ground,Rock,10,4,⬤⬤⬤⬤,1,⬤,4,⬤⬤⬤⬤,2,⬤⬤,2,⬤⬤,Lightning Rod,Rock Head,Reckless,Rhyhorn,Pro Rank,1.9,120
113,Chansey,Normal,,25,1,⬤,2,⬤⬤,1,⬤,1,⬤,3,⬤⬤⬤,Natural Cure,Serene Grace,Healer,Happiny,Oval Stone,1.1,34.6
114,Tangela,Grass,,6,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,1,⬤,Chlorophyll,Leaf Guard,Regenerator,,,1,35
115,Kangaskhan,Normal,,10,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,Early Bird,Scrappy,Inner Focus,,,2.2,80
115,Mega Kangaskhan,Normal,,10,4,⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Parental Bond,,,,,2.2,100
116,Horsea,Water,,3,1,⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,1,⬤,Swift Swim,Sniper,Damp,,,0.4,8
117,Seadra,Water,,5,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,Poison Point,Sniper,Damp,Horsea,Ace Rank,1.2,25
118,Goldeen,Water,,4,2,⬤⬤,2,⬤⬤,2,⬤⬤,1,⬤,2,⬤⬤,Swift Swim,Water Veil,Lightning Rod,,,0.6,15
119,Seaking,Water,,8,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,Swift Swim,Water Veil,Lightning Rod,Goldeen,Ace Rank,1.3,39
120,Staryu,Water,,3,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Illuminate,Natural Cure,Analytic,,,0.8,34.5
121,Starmie,Water,Psychic,6,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Illuminate,Natural Cure,Analytic,Staryu,Water Stone,1.1,80
122,Mr. Mime,Psychic,Fairy,4,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,Soundproof,Filter,Technician,Mime.Jr,Ace Rank,1.3,54.5
122,Galarian Mr. Mime,Ice,Psychic,5,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Vital Spirit,Screen Cleaner,Ice Body,Mime.Jr,Ace Rank,1.4,56.8
123,Scyther,Bug,Flying,7,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Swarm,Technician,Steadfast,,,1.5,56
124,Jynx,Ice,Psychic,6,2,⬤⬤,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,3,⬤⬤⬤,Oblivious,Forewarn,Dry Skin,Smoochum,Ace Rank,1.4,40.6
125,Electabuzz,Electric,,6,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Static,,Vital Spirit,Elekid,Ace Rank,1.1,30
126,Magmar,Fire,,6,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Flame Body,,Vital Spirit,Magby,Ace Rank,1.3,44.5
127,Pinsir,Bug,,6,4,⬤⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Hyper Cutter,Mold Breaker,Moxie,,,1.5,55
127,Pinsir-Mega,Bug,Flying,6,4,⬤⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Aerilate,,,,,1.7,59
128,Tauros,Normal,,7,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,1,⬤,2,⬤⬤,Intimidate,Anger Point,Sheer Force,,,1.4,88.4
128,Combat Breed Tauros,Fighting,,7,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,1,⬤,2,⬤⬤,Intimidate,Anger Point,Cud Chew,,,1.4,115
128,Blaze Breed Tauros,Fighting,Fire,7,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,1,⬤,2,⬤⬤,Intimidate,Anger Point,Cud Chew,,,1.4,85
128,Aqua Breed Tauros,Fighting,Water,7,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,1,⬤,2,⬤⬤,Intimidate,Anger Point,Cud Chew,,,1.4,110
129,Magikarp,Water,,2,1,⬤,3,⬤⬤⬤,2,⬤⬤,1,⬤,1,⬤,Swift Swim,,Rattled,,,0.9,10
130,Gyarados,Water,Flying,9,4,⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Intimidate,,Moxie,Magikarp,Amateur Rank,6.5,235
130,Mega Gyarados,Water,Dark,9,4,⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,Mold Breaker,,,,,6.5,305
131,Lapras,Water,Ice,13,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Water Absorb,Shell Armor,Hydration,,,2.5,220
131,Mega Lapras,Water,Dragon,13,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Liquid Voice,,,,,2.5,220
132,Ditto,Normal,,4,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Limber,,Imposter,,,0.3,4
133,Eevee,Normal,,5,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Run Away,Adaptability,Anticipation,,,0.3,6.5
133,Mega Eevee,Normal,,5,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Normalize,,,,,0.3,6.5
134,Vaporeon,Water,,13,2,⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Water Absorb,,Hydration,Eevee,Water Stone,1,29
135,Jolteon,Electric,,6,2,⬤⬤,4,⬤⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Volt Absorb,,Quick Feet,Eevee,Thunder Stone,0.8,24.5
136,Flareon,Fire,,6,4,⬤⬤⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Flash Fire,,Guts,Eevee,Fire Stone,0.9,25
137,Porygon,Normal,,6,2,⬤⬤,1,⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Trace,Download,Analytic,,,0.8,36.5
138,Omanyte,Rock,Water,3,1,⬤,1,⬤,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,Swift Swim,Shell Armor,Weak Armor,,,0.4,7.5
139,Omastar,Rock,Water,7,2,⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,Swift Swim,Shell Armor,Weak Armor,Omanyte,Ace Rank,1,35
140,Kabuto,Rock,Water,3,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,Swift Swim,Battle Armor,Weak Armor,,,0.5,11.5
141,Kabutops,Rock,Water,6,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,Swift Swim,Battle Armor,Weak Armor,Kabuto,Ace Rank,1.3,40.5
142,Aerodactyl,Rock,Flying,8,3,⬤⬤⬤,4,⬤⬤⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,Rock Head,Pressure,Unnerve,,,1.8,59
142,Mega Aerodactyl,Rock,Flying,8,4,⬤⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Tough Claws,,,,,2.1,79
143,Snorlax,Normal,,16,3,⬤⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,Immunity,Thick Fat,Gluttony,Munchlax,Max Friendship,2.1,460
143,Mega Snorlax,Normal,Ground,16,4,⬤⬤⬤⬤,1,⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Thick Fat,,,,,,
144,Articuno,Ice,Flying,9,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,Pressure,,Snow Cloak,,,1.7,55.4
144,Galarian Articuno,Psychic,Flying,9,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Competitive,,,,,1.7,50.9
145,Zapdos,Electric,Flying,9,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Pressure,,Static,,,1.6,52.6
145,Galarian Zapdos,Fighting,Flying,9,4,⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Defiant,,,,,1.6,58.2
146,Moltres,Fire,Flying,9,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Pressure,,Flame Body,,,2,60
146,Galarian Moltres,Dark,Flying,9,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,Berserk,,,,,2,66
147,Dratini,Dragon,,4,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Shed Skin,,Marvel Scale,,,1.8,3.3
148,Dragonair,Dragon,,6,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Shed Skin,,Marvel Scale,Dratini,Ace Rank,4,16.5
149,Dragonite,Dragon,Flying,9,4,⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Inner Focus,,Multiscale,Dragonair,Elite Rank,2.2,210
150,Mewtwo,Psychic,,10,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Pressure,,Unnerve,,,2,122
150,Mega Mewtwo X,Psychic,Fighting,10,5,⬤⬤⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Steadfast,,,,,2.3,127
150,Mega Mewtwo Y,Psychic,,10,4,⬤⬤⬤⬤,4,⬤⬤⬤⬤,2,⬤⬤,5,⬤⬤⬤⬤⬤,4,⬤⬤⬤⬤,Insomnia,,,,,1.5,33
151,Mew,Psychic,,10,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Synchronize,,,,,0.4,4
152,Chikorita,Grass,,4,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Overgrow,,Leaf Guard,,,0.9,6.4
153,Bayleef,Grass,,6,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Overgrow,,Leaf Guard,Chikorita,Amateur Rank,1.2,15.8
154,Meganium,Grass,,8,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Overgrow,,Leaf Guard,Bayleef,Ace Rank,1.8,100.5
155,Cyndaquil,Fire,,3,2,⬤⬤,2,⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,Blaze,,Flash Fire,,,0.5,7.9
156,Quilava,Fire,,5,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Blaze,,Flash Fire,Cyndaquil,Beginner Rank,0.9,19
157,Typhlosion,Fire,,7,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Blaze,,Flash Fire,Quilava,Ace Rank,1.7,79.5
157,Hisuian Typhlosion,Fire,Ghost,7,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Blaze,,Frisk,Quilava,Ace Rank,1.6,69.8
158,Totodile,Water,,5,2,⬤⬤,1,⬤,2,⬤⬤,1,⬤,2,⬤⬤,Torrent,,Sheer Force,,,0.6,9.5
159,Croconaw,Water,,6,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,Torrent,,Sheer Force,Totodile,Amateur Rank,1.1,25
160,Feraligatr,Water,,8,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Torrent,,Sheer Force,Croconaw,Ace Rank,2.3,88.8
161,Sentret,Normal,,3,2,⬤⬤,1,⬤,1,⬤,1,⬤,2,⬤⬤,Run Away,Keen Eye,Frisk,,,0.8,6
162,Furret,Normal,,8,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Run Away,Keen Eye,Frisk,Sentret,Beginner Rank,1.8,32.5
163,Hoothoot,Normal,Flying,6,1,⬤,2,⬤⬤,1,⬤,1,⬤,2,⬤⬤,Insomnia,Keen Eye,Tinted Lens,,,0.7,21.2
164,Noctowl,Normal,Flying,5,2,⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Insomnia,Keen Eye,Tinted Lens,Hoothoot,Amateur Rank,1.6,40.8
165,Ledyba,Bug,Flying,4,1,⬤,2,⬤⬤,1,⬤,1,⬤,3,⬤⬤⬤,Swarm,Early Bird,Rattled,,,1,10.8
166,Ledian,Bug,Flying,5,1,⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,Swarm,Early Bird,Iron Fist,Ledyba,Amateur Rank,1.4,35.6
167,Spinarak,Bug,Poison,4,2,⬤⬤,1,⬤,1,⬤,1,⬤,1,⬤,Swarm,Insomnia,Sniper,,,0.5,8.5
168,Ariados,Bug,Poison,7,3,⬤⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Swarm,Insomnia,Sniper,Spinarak,Amateur Rank,1.1,33.5
169,Crobat,Poison,Flying,8,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Inner Focus,,Infiltrator,Golbat,Max Friendship,1.8,75
170,Chinchou,Water,Electric,7,1,⬤,2,⬤⬤,1,⬤,2,⬤⬤,2,⬤⬤,Volt Absorb,Illuminate,Water Absorb,,,0.5,12
171,Lanturn,Water,Electric,12,2,⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Volt Absorb,Illuminate,Water Absorb,Chinchou,Amateur Rank,1.2,22.5
172,Pichu,Electric,,2,1,⬤,2,⬤⬤,1,⬤,1,⬤,1,⬤,Static,,Lightning Rod,,,0.3,2
173,Cleffa,Fairy,,5,1,⬤,1,⬤,1,⬤,2,⬤⬤,2,⬤⬤,Cute Charm,Magic Guard,Friend Guard,,,0.3,3
174,Igglybuff,Normal,Fairy,9,1,⬤,1,⬤,1,⬤,1,⬤,1,⬤,Cute Charm,Competitive,Friend Guard,,,0.3,1
175,Togepi,Fairy,,3,1,⬤,1,⬤,2,⬤⬤,1,⬤,2,⬤⬤,Hustle,Serene Grace,Super Luck,,,0.3,1.5
176,Togetic,Fairy,Flying,5,1,⬤,1,⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Hustle,Serene Grace,Super Luck,Togepi,Max Friendship,0.6,3.2
177,Natu,Psychic,Flying,4,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Synchronize,Early Bird,Magic Bounce,,,0.2,2
178,Xatu,Psychic,Flying,6,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Synchronize,Early Bird,Magic Bounce,Natu,Amateur Rank,1.5,15
179,Mareep,Electric,,5,1,⬤,1,⬤,1,⬤,2,⬤⬤,2,⬤⬤,Static,,Plus,,,0.6,7.8
180,Flaaffy,Electric,,7,2,⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Static,,Plus,Mareep,Beginner Rank,0.8,13.3
181,Ampharos,Electric,,9,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Static,,Plus,Flaaffy,Ace Rank,1.4,61.5
181,Mega Ampharos,Electric,Dragon,9,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Mold Breaker,,,,,1.4,61.5
182,Bellossom,Grass,,7,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Chlorophyll,,Healer,Gloom,Sun Stone,0.4,5.8
183,Marill,Water,Fairy,7,1,⬤,1,⬤,2,⬤⬤,1,⬤,2,⬤⬤,Thick Fat,Huge Power,Sap Sipper,Azurill,Max Friendship,0.4,8.5
184,Azumarill,Water,Fairy,10,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Thick Fat,Huge Power,Sap Sipper,Marill,Amateur Rank,0.8,28.5
185,Sudowoodo,Rock,,7,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,1,⬤,2,⬤⬤,Sturdy,Rock Head,Rattled,Bonsly,Amateur Rank,1.2,38
186,Politoed,Water,,9,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Water Absorb,Damp,Drizzle,Poliwhirl,King's Rock,1.1,33.9
187,Hoppip,Grass,Flying,3,1,⬤,2,⬤⬤,1,⬤,1,⬤,2,⬤⬤,Chlorophyll,Leaf Guard,Infiltrator,,,0.4,0.5
188,Skiploom,Grass,Flying,5,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Chlorophyll,Leaf Guard,Infiltrator,Hoppip,Amateur Rank,0.6,1
189,Jumpluff,Grass,Flying,7,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,Chlorophyll,Leaf Guard,Infiltrator,Skiploom,Ace Rank,0.8,3
190,Aipom,Normal,,5,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,1,⬤,2,⬤⬤,Run Away,Pickup,Skill Link,,,0.8,11.5
191,Sunkern,Grass,,3,1,⬤,1,⬤,1,⬤,1,⬤,1,⬤,Chlorophyll,Solar Power,Early Bird,,,0.3,1.8
192,Sunflora,Grass,,6,3,⬤⬤⬤,1,⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Chlorophyll,Solar Power,Early Bird,Sunkern,Sun Stone,0.8,8.5
193,Yanma,Bug,Flying,5,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Speed Boost,Compound Eyes,Frisk,,,1.2,38
194,Wooper,Water,Ground,5,2,⬤⬤,1,⬤,2,⬤⬤,1,⬤,1,⬤,Damp,Water Absorb,Unaware,,,0.4,8.5
194,Paldean Wooper,Poison,Ground,5,2,⬤⬤,1,⬤,2,⬤⬤,1,⬤,1,⬤,Poison Point,Water Absorb,Unaware,,,0.4,11
195,Quagsire,Water,Ground,9,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,Damp,Water Absorb,Unaware,Wooper,Amateur Rank,1.4,75
196,Espeon,Psychic,,6,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,3,⬤⬤⬤,Synchronize,,Magic Bounce,Eevee,Max Friendship,0.9,26.5
197,Umbreon,Dark,,9,2,⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,4,⬤⬤⬤⬤,Synchronize,,Inner Focus,Eevee,Max Friendship,1,27
198,Murkrow,Dark,Flying,6,3,⬤⬤⬤,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,1,⬤,Insomnia,Super Luck,Prankster,,,0.5,2.1
199,Slowking,Water,Psychic,9,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Oblivious,Own Tempo,Regenerator,Slowpoke,King's Rock,2,79.5
199,Galarian Slowking,Poison,Psychic,9,2,⬤⬤,1,⬤,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Curious Medicine,Own Tempo,Regenerator,Slowpoke-Galarian,Galarica Wreath,1.8,79.5
200,Misdreavus,Ghost,,6,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,Levitate,,,,,0.7,1
201,Unown,Psychic,,4,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Levitate,,,,,0.5,5
202,Wobbuffet,Psychic,,19,1,⬤,1,⬤,2,⬤⬤,1,⬤,2,⬤⬤,Shadow Tag,,Telepathy,Wynaut,Beginner Rank,1.3,28.5
203,Girafarig,Normal,Psychic,7,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,Inner Focus,Early Bird,Sap Sipper,,,1.5,41.5
204,Pineco,Bug,,5,2,⬤⬤,1,⬤,3,⬤⬤⬤,1,⬤,1,⬤,Sturdy,,Overcoat,,,0.6,7.2
205,Forretress,Bug,Steel,7,3,⬤⬤⬤,1,⬤,4,⬤⬤⬤⬤,2,⬤⬤,2,⬤⬤,Sturdy,,Overcoat,Pineco,Ace Rank,1.2,125.8
206,Dunsparce,Normal,,10,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,2,⬤⬤,Serene Grace,Run Away,Rattled,,,1.5,14
207,Gligar,Ground,Flying,6,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,1,⬤,2,⬤⬤,Hyper Cutter,Sand Veil,Immunity,,,1.1,64.8
208,Steelix,Steel,Ground,7,3,⬤⬤⬤,1,⬤,5,⬤⬤⬤⬤⬤,2,⬤⬤,2,⬤⬤,Rock Head,Sturdy,Sheer Force,Onix,Metal Coat,9.2,400
208,Mega Steelix,Steel,Ground,7,4,⬤⬤⬤⬤,1,⬤,5,⬤⬤⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Sand Force,,,,,10.5,740
209,Snubbull,Fairy,,6,3,⬤⬤⬤,1,⬤,2,⬤⬤,1,⬤,1,⬤,Intimidate,Run Away,Rattled,,,0.6,7.8
210,Granbull,Fairy,,9,4,⬤⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,Intimidate,Quick Feet,Rattled,Snubbull,Amateur Rank,1.4,48.7
211,Qwilfish,Water,Poison,6,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,Poison Point,Swift Swim,Intimidate,,,0.5,3.9
211,Hisuian Qwilfish,Dark,Poison,6,3,⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,2,⬤⬤,2,⬤⬤,Poison Point,Swift Swim,Intimidate,,,0.5,3.9
212,Scizor,Bug,Steel,7,4,⬤⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Swarm,Technician,Light Metal,Scyther,Metal Coat,1.8,118
212,Mega Scizor,Bug,Steel,7,4,⬤⬤⬤⬤,3,⬤⬤⬤,4,⬤⬤⬤⬤,2,⬤⬤,3,⬤⬤⬤,Technician,,,,,2,125
213,Shuckle,Bug,Rock,2,1,⬤,1,⬤,5,⬤⬤⬤⬤⬤,1,⬤,5,⬤⬤⬤⬤⬤,Sturdy,Gluttony,Contrary,,,0.6,20.5
214,Heracross,Bug,Fighting,8,4,⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,Swarm,Guts,Moxie,,,1.5,54
214,Mega Heracross,Bug,Fighting,8,5,⬤⬤⬤⬤⬤,3,⬤⬤⬤,3,⬤⬤⬤,1,⬤,3,⬤⬤⬤,Skill Link,,,,Mega Stone,1.7,62.5
